data,label
"[b'coleycee', b'let', b'make', b'couple', b'tweets', b'cuzzo', b'page', b'i', b'wont', b'get', b'twitter', b'jaillmao', b'bitch', b'dont', b'trick']",1
"[b'comedyposts', b'harlem', b'shake', b'excuse', b'go', b'full', b'retard', b'seconds']",1
"[b'comedytruth', b'amen', b'miley', b'httptcopkbtfyxrokay', b'dont', b'need', b'act', b'like', b'hoe', b'bc', b'shes', b'emotionally', b'damaged', b'foh']",1
"[b'corybandz', b'one', b'loyal', b'female', b'wayyyyy', b'better', b'hoes', b'idc']",1
"[b'crhedrys', b'pussy', b'licking', b'pussy', b'meow', b'meow', b'stopwhitepeople', b'httpstcokeegdcjsk']",1
"[b'dbabholloway', b'check', b'th', b'man', b'cowboysnation', b'even', b'faggot', b'ny', b'fans', b'stands']",1
"[b'dgotbricks', b'what', b'happen', b'vixen', b'ent', b'bitches', b'got', b'ran', b'threw', b'side', b'like', b'foothill', b'bitch']",1
"[b'daedavidavie', b'whitethunduh', b'im', b'bitch', b'okay', b'nudes', b'pat', b'wow']",1
"[b'devilgrimz', b'vigxrarts', b'youre', b'fucking', b'gay', b'blacklisted', b'hoe', b'holding', b'tehgodclan', b'anyway', b'httptcoxuccwoetmn']",0
"[b'diamondloudkush', b'the', b'fuck', b'wrong', b'bitches', b'nobody', b'knows']",1
"[b'dietrich', b'yall', b'shut', b'upp', b'make', b'bitch']",1
"[b'dionairish', b'i', b'hate', b'im', b'pregnant', b'type', b'bitch']",1
"[b'doyouq', b'got', b'bitches', b'dm', b'i', b'dont', b'ever', b'readem', b'top']",1
"[b'domworldpeace', b'baseball', b'season', b'win', b'yankees', b'this', b'love', b'started']",2
"[b'dommoneek', b'little', b'stupid', b'bitch', b'i', b'dont', b'fuck', b'yoooooouuuu']",1
"[b'dreadheadari', b'really', b'asked', b'dead', b'ass', b'serious', b'tho', b'could', b'say', b'bitch', b'wheet', b'lol']",1
"[b'dunderbail', b'im', b'early', b'bird', b'im', b'night', b'owl', b'im', b'wise', b'worms']",2
"[b'edgarpixar', b'overdosing', b'heavy', b'drugs', b'doesnt', b'sound', b'bad', b'tonight', b'i', b'pussy', b'shit', b'every', b'day']",2
"[b'elgrillo', b'pit', b'bulls', b'photographed', b'as', b'lovely', b'fairy', b'tale', b'creatures', b'httptcoqsmoolh', b'they', b'fairy', b'tale', b'creatures']",2
"[b'ferociousghost', b'stnamebravo', b'aw', b'fag', b'dont', b'tweet', b'aw', b'lol']",1
"[b'flokid', b'as', b'long', b'lakers', b'trash', b'i', b'could', b'careless', b'and', b'thats', b'real', b'cc', b'benballer', b'hahaha']",2
"[b'frosstyy', b'hrheyd', b'i', b'didnt', b'say', b'anything', b'tho', b'kiss', b'faggot']",1
"[b'funnypicsdepot', b'i', b'play', b'soccer', b'cheat', b'girls', b'wear', b'khaki', b'coloured', b'cargos', b'haircut', b'httptcozuaiqwbir', b'yup']",2
"[b'gstatus', b'i', b'could', b'go', b'fat', b'ass', b'bitch', b'lap']",1
"[b'gedmelle', b'missed', b'calls', b'das', b'yo', b'po', b'bitch', b'twitter', b'finna', b'screamn', b'freemoneymelle']",1
"[b'gtmal', b'ya', b'side', b'bitch', b'gotta', b'know', b'rules', b'shitanybody', b'ask', b'cousin', b'jersey', b'thinkin', b'bout', b'moving', b'lmmfao']",1
"[b'gagatom', b'malefoot', b'amo', b'los', b'pies', b'httptcoqehdkki', b'fuck', b'yeah']",1
"[b'girlthatsvonte', b'these', b'hoes', b'thinking', b'meat', b'wont', b'slap', b'ass', b'ainna', b'bruh']",1
"[b'girlthatsvonte', b'yall', b'bitches', b'wit', b'edges', b'talking']",1
"[b'girlthatsvonte', b'yall', b'still', b'going', b'trick', b'treating', b'year', b'nahhell', b'yeah', b'ima', b'da', b'sweet', b'tooth', b'bandit', b'steal', b'bitches', b'bags', b'n', b'shit']",1
"[b'girllssues', b'i', b'wanna', b'sex', b'mom', b'fuck', b'right', b'pussy', b'i', b'came', b'damn', b'got', b'hacked', b'like', b'fuck']",1
"[b'gizzyjones', b'if', b'kiss', b'u', b'eyes', b'open', b'watch', b'bitchlmfao']",1
"[b'goofstroop', b'you', b'woulda', b'coulda', b'shoulda', b'ass', b'hoe']",1
"[b'gottiltf', b'happy', b'bday', b'bitch', b'ass', b'nigga', b'jetsandaswisherpreciate', b'bitch', b'roll']",1
"[b'hbmostdope', b'jayee', b'pipinhoes', b'used', b'send', b'bitch']",1
"[b'hbmostdope', b'ugly', b'bitches', b'like', b'im', b'wcw', b'duh', b'bitch', b'aint', b'nobody', b'elses']",1
"[b'halotgmg', b'stnamebravo', b'nigga', b'know', b'hacky', b'sack', b'hoes', b'nah', b'i', b'throw', b'look', b'passes', b'lmao']",1
"[b'heartlessfuck', b'glad', b'im', b'getting', b'outta', b'atlanta', b'nothing', b'bunch', b'niggas', b'amp', b'outta', b'jail', b'amp', b'dumb', b'bitches', b'mad', b'kids', b'fuckin', b'em']",1
"[b'hermosaalma', b'this', b'isnt', b'ghettoits', b'smart', b'httpstcompazqjswf', b'im', b'idc']",2
"[b'hiimjorib', b'i', b'would', b'wife', b'hoe', b'cuz', b'wouldnt', b'care', b'cheating', b'force', b'relationship', b'first', b'place']",1
"[b'hornyfacts', b'being', b'single', b'isnt', b'excuse', b'hoe', b'theonemissluu']",1
"[b'hoskinsty', b'white', b'boy', b'power', b'bitch', b'black', b'power', b'bitch']",1
"[b'hudgens', b'lets', b'get', b'drunk', b'get', b'blowed', b'spit', b'shit', b'spark', b'blunts', b'amp', b'fuck', b'hoes', b'bro', b'white', b'dudes', b'chill']",1
"[b'iscoutgirls', b'verballyabrupt', b'bitch', b'u', b'around', b'world', b'back', b'where']",1
"[b'itsyahboiray', b'anelylove', b'i', b'dont', b'get', b'dick', b'sucked', b'yo', b'party', b'bad', b'bitch', b'im', b'fr', b'gone', b'set', b'anelylove']",1
"[b'itsyesie', b'oomf', b'soooo', b'cute', b'but', b'probably', b'hoes', b'lot']",1
"[b'jayten', b'in', b'every', b'cartoon', b'alway', b'nuffsaid', b'saving', b'hoes', b'lmao', b'httptcoukdwtzx', b'lmao', b'damn', b'captain', b'saveahoe']",1
"[b'jreebo', b'who', b'wants', b'get', b'nose', b'bad', b'bois', b'scally', b'chav', b'sockfetish', b'stinking', b'httptcofeqxgnwi', b'hot', b'sox', b'legs']",2
"[b'jamesynba', b'i', b'wish', b'i', b'bitch', b'like', b'brother', b'keezy', b'ooooow', b'i', b'bet']",1
"[b'jasminepore', b'if', b'dressed', b'cat', b'halloween', b'basic', b'pussy']",1
"[b'jewelxo', b'can', b'pornhub', b'get', b'gaming', b'stream', b'feature', b'dumb', b'bitches', b'gtfo', b'pornhub', b'get', b'katielt']",1
"[b'joebudden', b'stop', b'scared', b'choke', b'sex', b'u', b'bitch', b'ass', b'niggas', b'shell', b'like', b'says', b'guy', b'hits', b'women', b'bed', b'foh']",1
"[b'johnnyperez', b'whitethunduh', b'ha', b'well', b'iguess', b'i', b'make', b'hoes', b'loyal', b'bro', b'theyll', b'never', b'loyal', b'hoes', b'nig']",1
"[b'kazatta', b'takehov', b'oh', b'man', b'molly', b'ho', b'fuck', b'ya', b'seed', b'fixed']",1
"[b'kelsiebelsi', b'youre', b'man', b'refer', b'every', b'girl', b'bitch']",1
"[b'keyshawnswag', b'lmfao', b'cat', b'started', b'beating', b'shit', b'nigga', b'finally', b'got', b'pussy', b'my', b'nigga']",1
"[b'keyshawnswag', b'peel', b'peel', b'bring', b'back', b'rewind', b'back', b'im', b'move', b'shaq', b'line', b'ooooow', b'tf', b'said', b'trash']",2
"[b'kingcuh', b'stanleys', b'io', b'io', b'alu', b'record', b'ho', b'vine', b'sai', b'pe', b'hahahaha', b'lol', b'anywaaaaaays', b'haha']",1
"[b'kinghendo', b'vondreaam', b'naw', b'old', b'tape', b'new', b'cover', b'upcoming', b'mixtape', b'kingofthehill', b'yeah', b'im', b'waiting', b'hoe', b'mayne']",1
"[b'kingteej', b'ol', b'dirty', b'foot', b'ass', b'bitches', b'funny']",1
"[b'kingshawn', b'whitethunduh', b'thats', b'i', b'get', b'yellow', b'flags', b'amazing', b'hell', b'yeah', b'niggy']",1
"[b'kissmysmilee', b'dont', b'got', b'time', b'bitches', b'actin', b'iffy']",1
"[b'knightfanneal', b'ucfpinkparty', b'come', b'stay', b'alive', b'knights', b'nation', b'this', b'still', b'early', b'bird', b'special', b'comeatmeut']",2
"[b'kyranadiya', b'these', b'hoes', b'aint', b'loyal', b'aint', b'httptcohubsvbkgl', b'smfh', b'amp', b'wonder', b'nobody', b'decent', b'wants']",1
"[b'lcistj', b'bruh', b'studs', b'keep', b'thinking', b'im', b'soft', b'hell', b'ask', b'ya', b'girl', b'many', b'times', b'screamed', b'bitch', b'oh', b'okay', b'stfu', b'bye', b'hoe']",1
"[b'lodycash', b'dry', b'pussy', b'bitches', b'always', b'blame', b'condom']",1
"[b'lunaraps', b'shut', b'yo', b'bitch', b'ass', b'httpstcoiemnugm']",1
"[b'laflaregodjosh', b'gucci', b'mane', b'jail', b'dropping', b'mixtapes', b'every', b'month', b'hoes', b'cant', b'even', b'text', b'back']",1
"[b'latrobemark', b'you', b'love', b'hoes', b'money', b'wats', b'wrong', b'niggas']",1
"[b'lebronvuitton', b'a', b'loyal', b'bitch', b'burbs', b'without', b'daddy', b'issues', b'like', b'finding', b'holographic', b'mewtwo', b'sounding', b'like', b'lol']",1
"[b'lilfridayhoe', b'easy', b'cum', b'easy', b'hoe', b'thats', b'fact']",1
"[b'lifeasbros', b'charlie', b'sheen', b'real', b'httptcogggdkkov', b'major', b'fucking', b'respect', b'charlie', b'sheen']",1
"[b'lightskingawdd', b'wish', b'i', b'bae', b'you', b'got', b'hoes', b'tho']",1
"[b'lilmike', b'fuck', b'twerking', b'bitch', b'cook']",1
"[b'linniekravitz', b'wesgodlaflare', b'bitch', b'wtf', b'httptcodasmycxodb']",1
"[b'lipethegreat', b'hrheyd', b'lipethegreat', b'shut', b'zoe', b'fight', b'pussy', b'zoe', b'im', b'good', b'man', b'you', b'good', b'maam', b'move', b'along']",1
"[b'lolaaisdope', b'lmao', b'fucking', b'snake', b'bitches', b'em']",1
"[b'loveableaizah', b'big', b'booty', b'hoes', b'everywhere', b'sheesh', b'damn']",1
"[b'mlbnetwork', b'stay', b'tuned', b'mlbnetwork', b'update', b'report', b'yankees', b'b', b'teixeiramark', b'weeks', b'dliming', b'bum']",2
"[b'mrad', b'dezdlt', b'i', b'play', b'soccer', b'cheat', b'girls', b'wear', b'khaki', b'coloured', b'cargos', b'haircut', b'httptcotycihdpkw', b'yes', b'lmfaosoccerboy']",2
"[b'madflyentist', b'oregon', b'chokes', b'every', b'year', b'get', b'field', b'trash', b'ass', b'program', b'rft']",1
"[b'mannydiesel', b'def', b'cowboy', b'lol', b'rt', b'artoffloyd', b'terrell', b'owens', b'best', b'eagle', b'amp', b'cowboy', b'ever', b'dude', b'cried', b'like', b'bitch', b'tv', b'romo']",1
"[b'markroundtreejr', b'lmfaoooo', b'i', b'hate', b'black', b'people', b'httpstcornvdnlcdr', b'this', b'theres', b'black', b'people', b'niggers']",0
"[b'master', b'tolife', b'gabrielastarr', b'how', b'could', b'u', b'bitch', b'potent']",1
"[b'maxmayo', b'httptcojkkrx', b'pissed', b'lad', b'past', b'i', b'would', b'lick', b'dirty', b'soles', b'slept']",2
"[b'maxmayo', b'httptcoprrskknqrv', b'love', b'frat', b'boy', b'w', b'soft', b'long', b'soles']",2
"[b'maxmayo', b'httptcoxpscmakgj', b'sexy', b'lad', b'hot', b'soles', b'arches']",2
"[b'megamindnick', b'whitethunduh', b'nah', b'fam', b'i', b'gotta', b'cheat', b'hoes', b'depends', b'female', b'feel']",1
"[b'meshanojas', b'vontethekidd', b'i', b'got', b'hicks', b'lol']",2
"[b'migsmichelen', b'this', b'new', b'twitter', b'confusing', b'shit', b'go', b'back', b'south', b'america', b'bitch']",1
"[b'miikitox', b'toto', b'means', b'ass', b'vaginai', b'think', b'pussy', b'cause', b'toto', b'santi', b'like', b'nasty', b'pussy']",1
"[b'mikelahenry', b'actually', b'choose', b'ugly', b'bitch', b'her', b'ass', b'must', b'fat']",1
"[b'mileycyrus', b'bitch', b'couldnt', b'kill', b'vibe', b'ya', b'tried', b'dis', b'love', b'miley']",1
"[b'montrell', b'im', b'tired', b'bitches', b'saying', b'i', b'look', b'mean', b'nigga', b'big', b'af', b'wear', b'tight', b'shirts', b'grim', b'everybody']",1
"[b'motherjones', b'birds', b'grandkids', b'may', b'never', b'see', b'thanks', b'climate', b'change', b'httptcoxqmxhkaswt', b'httptcorbitegrnhm', b'climate']",2
"[b'mvckfadden', b'stay', b'beautiful', b'bitch']",1
"[b'nickiminaj', b'wutkinda', b'r', b'purple', b'ceeeleeeman', b'gurl', b'jus', b'playin', b'stupid', b'hoe', b'track', b'but', b'still', b'shitted', b'sum', b'gurls']",1
"[b'nastycopper', b'money', b'getting', b'taller', b'bitches', b'getting', b'blurry']",1
"[b'newsomejade', b'i', b'aint', b'never', b'seen', b'bitch', b'obsessed', b'nigga', b'im', b'obsessed', b'mine']",1
"[b'nicholasted', b'kobe', b'stay', b'talking', b'trash', b'but', b'lets', b'forget', b'httptcovhtnekvtp', b'jaustin', b'i', b'meant', b'one', b'smh']",1
"[b'nochillpaz', b'at', b'least', b'im', b'nigger', b'httptcorgjacfoit', b'lmfao']",0
"[b'nofakingg', b'people', b'always', b'asking', b'im', b'mixed', b'she', b'bad', b'asian', b'bitch', b'lol']",1
"[b'notoriousbm', b'whiteponyjr', b'ariza', b'snake', b'coward', b'least', b'isnt', b'cripple', b'like', b'hero', b'roach', b'lmaoo']",0
"[b'osayitaintso', b'ignorealllaws', b'fosters', b'home', b'imaginary', b'trash', b'whoa', b'chill', b'show', b'everything', b'tf']",2
"[b'officialreplay', b'i', b'lowkey', b'tired', b'tired', b'quiet', b'go', b'sleep', b'hoe']",1
"[b'prayingforhead', b'macklemroe', b'stop', b'bringing', b'weird', b'niggers', b'mentions', b'prayingforhead', b'httptcocussdjesrk']",1
"[b'prettybossbrat', b'we', b'dont', b'love', b'hoes']",1
"[b'patrickquelo', b'if', b'yo', b'girl', b'cant', b'homeboys', b'ol', b'weak', b'bitch', b'ass', b'nigga']",1
"[b'patsfanjoe', b'dpalomino', b'i', b'think', b'worst', b'advice', b'i', b'gave', b'dont', b'pussy', b'speed', b'lol']",1
"[b'poemsporn', b'quote', b'tweet', b'favorite', b'animalpussy']",1
"[b'poeticsuccess', b'i', b'hate', b'strippers', b'tell', b'theyre', b'dancers', b'hoe', b'ballet', b'dancers', b'dont', b'pop', b'pussy', b'beethoven', b'you', b'stripper']",1
"[b'poffalicious', b'andrewbryant', b'poff', b'double', b'vision', b'beers', b'poff', b'double', b'pussy', b'smh']",1
"[b'poobie', b'when', b'bitches', b'twerk', b'computer', b'me', b'in', b'ya', b'ya', b'damn']",1
"[b'prodsjewel', b'sreadthepeace', b'yungmindless', b'peacepunkprince', b'prince', b'this', b'art', b'httptcoephrwxmbhr', b'nobody', b'takin', b'bitch']",1
"[b'quant', b'welfaregovernment', b'aid', b'claimed', b'white', b'people', b'so', b'yall', b'black', b'slander', b'trash']",2
"[b'quant', b'these', b'bitches', b'dont', b'care', b'play', b'role']",1
"[b'queenkaaat', b'it', b'took', b'find', b'i', b'hiding', b'in', b'lime', b'tree', b'iemonaids', b'dis', b'bitch', b'da', b'wrong', b'tree', b'bro']",1
"[b'rtnba', b'drakes', b'new', b'shoes', b'released', b'nikejordan', b'yes', b'theres', b'glitter', b'shoes', b'httptcoqctplxhexm', b'dudes', b'fag']",0
"[b'rachiesoul', b'dizzleofficial', b'inna', b'di', b'ghetto', b'you', b'alone', b'lmaoo']",2
"[b'ramboutit', b'master', b'tolife', b'ramboutit', b'hoes', b'austin', b'teach', b'us', b'austini', b'teach', b'u', b'get', b'curved', b'thats', b'i', b'know']",2
"[b'reachtheeclimax', b'bitches', b'cant', b'cook', b'know', b'suck', b'dick', b'ones']",1
"[b'renegademo', b'fat', b'hoes', b'get', b'chose', b'lol']",1
"[b'riahsm', b'hoesaintloyal', b'well', b'theyre', b'hoesno', b'one', b'expects', b'loyal']",1
"[b'rishaawilliams', b'treshonscrooge', b'nevertrustt', b'ol', b'bitch', b'ass', b'httptcoamcoinywg']",1
"[b'rnadjorell', b'bruh', b'im', b'tired', b'niggas', b'retweetin', b'miley', b'cyrus', b'naked', b'bitch', b'aint', b'types', b'bad', b'lmaooo']",1
"[b'sactownprodigy', b'just', b'tony', b'romo', b'mavs', b'game', b'dont', b'mean', b'still', b'bitch', b'lmao', b'fuk', b'cowgirls', b'lol', b'bitch', b'fuck']",1
"[b'samjlayman', b'holy', b'shit', b'freddie', b'highmore', b'charlie', b'chocolate', b'factory', b'me', b'rolls', b'floor', b'laughing']",1
"[b'samirahusic', b'i', b'dont', b'want', b'sex', b'gf', b'i', b'feel', b'like', b'im', b'using', b'anonymous', b'whata', b'faggot']",1
